number0,system_nam,owner_type,d_prin_cit,d_prin_cnt,d_fed_prim,d_populati,d_ttl_stor,d_pws_fed_,has_nmdwb_data,num_gw_facilities,has_gw_facilities_ind,num_sw_gu_facilities,num_sw_facilities,num_gu_facilities,has_sw_facilities_ind,has_gu_facilities_ind,surface_ground_facility_type,surf_wtr_ratio_if_spws,surf_wtr_pur_ratio_if_spws,grnd_wtr_udi_ratio_if_spws,grnd_wtr_udi_purch_if_spws,surface_pws,surface_ratio_if_spws,has_source_ratio_surface_pws,mhi_2010,has_mhi_data,has_drinking_water_data,ratio_pws_mhi_over_state_mhi,disadvantage_status_type,total_intakes,sw_intakes,gw_intakes,gu_intakes,total_gu_sw_intakes,alternative_intakes,impacted_sw_intakes,impacted_gu_intakes,impacted_gu_sw_water_intakes,ratio_impacted_gu_sw_over_all,ratio_gu_sw_impacted_over_gu_sw,has_surface_intake_geo_info,seller_number0_1,seller_system_name_1,seller_pop_1,seller_number0_2,seller_system_name_2,seller_pop_2,surfacepurchaser_status,has_surfacepurchase_data,wotus2020_dwv_index,seller_wotus2020_dwv_index_1,seller_wotus2020_dwv_index_2,index_summary
NM3558214,CEDAR CREEK CABIN OWNERS ASSOCIATION,P,RUIDOSO,LINCOLN,GW,554,100000,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,50313,Yes,Yes,1.0469006,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3521408,WHITES CITY WATER SYSTEM,P,WHITES CITY,EDDY,GW,67,210000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,72135,Yes,Yes,1.5009675,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500619,OASIS ENTERPRISES INC.,P,ALAMOGORDO,OTERO,SWP,100,0,NC,Yes,0,0,3,3,0,1,0,Surface,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,35629,,,,A,Yes,3,3,,Direct Impact Non-Community Water System
NM3524830,EDGEWOOD MEADOWS WATER CORP.,P,EDGEWOOD,TORRANCE,GW,93,10000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,38533,Yes,Yes,.80178529,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3591307,FORT SELDEN HISTORIC SITE,S,RADIUM SPRINGS,DONA ANA,GW,60,1200,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3520014,TWIN SPRUCE CAMPGROUND,P,RUIDOSO,LINCOLN,GW,200,100000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3505326,TESUQUE MDWCA,L,TESUQUE,SANTA FE,GW,258,50000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,50290.2,Yes,Yes,1.0464263,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3593532,BELEN MOOSE LODGE 1680,P,BELEN,VALENCIA,GW,60,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590530,RATTLESNAKE DRAW REST AREA,S,CLINES CORNERS,TORRANCE,GW,1000,10000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3591209,CAMP THUNDERBIRD,P,MIMBRES,GRANT,GW,25,5000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3581926,MINE SHAFT TAVERN,P,,SANTA FE,GW,150,1700,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3519703,DEXTER MUNICIPAL WATER SYSTEM,L,DEXTER,CHAVES,GW,1554,1150000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,40598,Yes,Yes,.84475332,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3511601,SANDIA CHURCH OF THE NAZARENE,P,ALBUQUERQUE,BERNALILLO,GW,150,2500,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3546930,INDIAN HILLS WATER COMPANY,P,MORIARTY,TORRANCE,GW,704,103000,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,38533,Yes,Yes,.80178529,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3584129,RIO BRAVO CAMPGROUND (BLM),F,PILAR,TAOS,GW,20,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3507729,TRES PIEDRAS MDWCA,L,TRES PIEDRAS,TAOS,GW,205,64000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3574826,JUNIPER HILLS RANCH,P,SANTA FE,SANTA FE,GW,65,0,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,70208,Yes,Yes,1.460871,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3559316,PECAN PARK MDWCA,L,DEMING,LUNA,GW,113,32000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,27836,Yes,Yes,.57920474,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3576623,HOFHEINS/MARCEL THOMAS ASSOC COOP INC,P,JEMEZ SPRINGS,SANDOVAL,GW,70,28000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,41510,Yes,Yes,.86373001,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3522509,NORTH HURLEY MDWCA,L,HURLEY,GRANT,GWP,296,0,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,32728,Yes,Yes,.6809963,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3502219,DOLLAR GENERAL LA LUZ,P,LA LUZ,OTERO,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3546419,TIMBERON W AND SD,L,TIMBERON,OTERO,SW,941,1032500,C,Yes,3,1,5,4,1,1,1,Surface and Ground,60,0,0,0,1,60,1,19334,Yes,Yes,.40229717,Severely Disadvantaged,14,4,9,1,5,1,4,1,5,.35714287,1,1,,,,,,,,No,4,,,Direct Impact with Alternative Sources of Water
NM3581701,HIDDEN VALLEY RESORT ON ROUTE 66,P,TIJERAS,BERNALILLO,GW,252,6000,NC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3581904,PHILMONT SCOUT RANCH - FISH CAMP OUTCAMP,P,CIMARRON,COLFAX,GW,150,2200,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3524430,PUNTA DE AGUA MDWCA,L,MOUNTAINAIR,TORRANCE,GW,45,28000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,43625,Yes,Yes,.90773839,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501304,PHILMONT SCOUT RANCH - RAYADO RIDGE OC,P,CIMARRON,COLFAX,GW,99,5875,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3521308,OTIS MDWCA,L,CARLSBAD,EDDY,GW,4592,1650000,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,65683.2,Yes,Yes,1.3667201,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3581923,COTTONWOOD MONTESSORI,P,CORRALES,SANDOVAL,GW,85,170,NTNC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3584229,PILAR CAMPGROUND (BLM),F,PILAR,TAOS,GW,20,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510027,CABALLO LAKE MDWCA,L,CABALLO,SIERRA,GW,115,900,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,32482,Yes,Yes,.67587757,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3563619,MOUNTAIN ORCHARD MDWCA,L,HIGH ROLLS,OTERO,GW,102,43000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,53979,Yes,Yes,1.1231819,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501332,SPA AND CUISINE,P,LOS LUNAS,VALENCIA,GW,45,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3520708,HAPPY VALLEY COOPERATIVE WATER WORKS,P,CARLSBAD,EDDY,GW,638,210000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,62113,Yes,Yes,1.2924322,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510329,ENCHANTED MOBILE HOME PARK,P,TAOS,TAOS,GW,150,0,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,34894,Yes,Yes,.72606587,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3592717,T & R MARKET WATER SUPPLY,P,YATAHEY,MCKINLEY,GW,100,3000,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3550201,HOMESTEAD MOBILE HOME COMMUNITY,P,ALBUQUERQUE,BERNALILLO,GW,137,10000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,82586,Yes,Yes,1.7184294,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500732,MAEZ WATER SOURCES & DRILLING,P,PERALTA,VALENCIA,GW,50,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3511207,ANTHONY W&SD,L,ANTHONY,DONA ANA,GW,10965,2200000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,26498.2,Yes,Yes,.55136812,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3584429,ST BERNARD CONDOMINIUMS,P,TAOS SKI VALLEY,TAOS,GW,75,5000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3511201,SIERRA VISTA SOUTH WATER COOP,P,CEDAR CREST,BERNALILLO,GW,128,60000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,75116,Yes,Yes,1.5629954,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3595130,MOUNTAIN VIEW ELEMENTARY SCHOOL,L,MORIARTY,TORRANCE,GW,100,40000,NTNC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3580129,TAOS INN,P,TAOS,TAOS,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3502726,ARROYO SECO TEEN CENTER,L,SANTA FE,SANTA FE,GW,50,40000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3582901,TURQUOISE TRAIL CAMPGROUND,P,CEDAR CREST,BERNALILLO,GW,167,1550,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3502319,DOLLAR GENERAL #18864,P,ALAMOGORDO,OTERO,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3591025,FIELD TRACT CAMPGROUND USFS SNF,F,PECOS,SAN MIGUEL,GW,53,9400,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501404,PHILMONT SCOUT RANCH - METCALF STATION,P,CIMARRON,COLFAX,GW,80,2250,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3599129,TAOS EAST CONDOMINIUMS,P,TAOS,TAOS,GW,50,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3599229,AMIZETTE INN,P,TAOS SKI VALLEY,TAOS,GW,28,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3594326,EL GANCHO,P,SANTA FE,SANTA FE,GW,300,10000,NC,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500217,ST WILLIAMS MOBILE HOME PARK,P,MENTMORE,MCKINLEY,GW,84,3160,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,38640,Yes,Yes,.80401176,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3531804,VILLAGE OF EAGLE NEST,L,EAGLE NEST,COLFAX,GW,568,200000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,41074,Yes,Yes,.85465783,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510119,PONDEROSA PINES PROPERTY OWNERS ASSOC,P,CLOUDCROFT,OTERO,GW,130,81500,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,36970.2,Yes,Yes,.76926696,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3580509,LAKE ROBERTS WATER USERS ASSOCIATION,L,SILVER CITY,GRANT,GW,51,14800,NC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,46698,Yes,Yes,.97168064,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3520027,DESERTAIRE WATER COMPANY,P,TRUTH OR CONSEQUENCES,SIERRA,GW,48,130,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,43669,Yes,Yes,.90865397,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3553501,OLD SANDIA PARK SERVICE CO-OP,P,CEDAR CREST,BERNALILLO,GW,200,27000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,67999.2,Yes,Yes,1.4149108,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3572126,POJOAQUE TERRACES MHP,P,POJOAQUE,SANTA FE,GW,160,10000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,52260,Yes,Yes,1.0874134,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590427,PERCHA DAM STATE PARK,S,CABALLO,SIERRA,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501629,EL PUEBLO LODGE,P,TAOS,TAOS,GW,100,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500125,ILFELD MDWCA,L,ILFELD,SAN MIGUEL,GW,400,25000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,34956,Yes,Yes,.72735596,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3592125,EL PORVENIR CHRISTIAN CAMP,P,MONTEZUMA,SAN MIGUEL,GW,175,27000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500327,ROCK CANYON RECREATION AREA-STATE PARKS,S,ELEPHANT BUTTE,SIERRA,GW,33,119,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3599026,SILVER SADDLE MOTEL,P,SANTA FE,SANTA FE,GW,75,5000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3514810,PUERTO DE LUNA MDWCA,L,PUERTO DE LUNA,GUADALUPE,GWP,426,250000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,24085,Yes,Yes,.50115484,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3563019,CLOUD COUNTRY ESTATES WUA,L,MAYHILL,OTERO,GW,337,221536,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,53979,Yes,Yes,1.1231819,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510104,MAXWELL COOPERATIVE WATER USERS ASSOC,P,MAXWELL,COLFAX,GW,274,120000,C,Yes,5,1,0,0,0,0,0,Ground,,,,,0,,1,41001.1,Yes,Yes,.85314095,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500403,GENERATIONS OF LEARNING,P,ROSWELL,CHAVES,GW,140,0,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590732,ADELINO HEADSTART SCHOOL,P,TOME,VALENCIA,GW,150,250,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3500817,EL SABINO STORE,P,GALLUP,MCKINLEY,GW,150,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3524626,ENTRANOSA WATER AND WASTEWATER COOP,P,EDGEWOOD,BERNALILLO,GW,8500,3467000,C,Yes,7,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590115,PAJARITO MOUNTAIN SKI AREA,P,LOS ALAMOS,LOS ALAMOS,GW,350,70000,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3580907,DRIPPING SPRINGS,F,LAS CRUCES,DONA ANA,GW,250,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501729,"TAOS TENNIS RANCH, LLC",P,TAOS,TAOS,GW,25,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3507129,RED RIVER WATER SYSTEM,L,RED RIVER,TAOS,GW,679,1270000,C,Yes,5,1,0,0,0,0,0,Ground,,,,,0,,1,37996,Yes,Yes,.79061157,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3501001,SUNSET HILLS ESTATES HOA,P,ALBUQUERQUE,BERNALILLO,GW,76,42500,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,114385,Yes,Yes,2.3800952,Non-Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3590829,PILAR YACHT CLUB & CAFE,P,EMBUDO,RIO ARRIBA,GW,50,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
